Data,Produto,Título,URL,Texto
2024-08-05,AÇÚCAR/CEPEA,"Com baixa liquidez, preços têm leve queda",https://www.cepea.esalq.usp.br/br/diarias-de-mercado/acucar-cepea-com-baixa-liquidez-precos-tem-leve-queda.aspx,"Cepea, 06/08/2024 – A liquidez no mercado spot de açúcar cristal branco em São Paulo foi baixa na última semana. Segundo pesquisadores do Cepea, usinas continuam ofertando pouco produto, especialmente o tipo Icumsa 150, que tem sido direcionado em maior quantidade para exportação. A demanda, por sua vez, não apresenta sinais de aquecimento. Muitos compradores afirmam ter estoques suficientes, reduzindo a necessidade de aquisições volumosas, ainda conforme pesquisadores do Cepea. Entre 29 de julho e 2 de agosto, a média do Indicador CEPEA/ESALQ, cor Icumsa de 130 a 180, foi de R$ 132,78/saca de 50 kg, pequena queda de 0,19% frente à do período anterior. Quanto às exportações brasileiras de açúcar, já foram embarcadas 19,946 milhões de toneladas de janeiro a julho deste ano, 40,7% a mais que em igual intervalo de 2023 – dados Secex. Fonte: Cepea (www.cepea.esalq.usp.br)"
2024-08-05,ETANOL/CEPEA,"Vendas ultrapassam 100 milhões de litros, e hidratado volta a subir",https://www.cepea.esalq.usp.br/br/diarias-de-mercado/etanol-cepea-vendas-ultrapassam-100-milhoes-de-litros-e-hidratado-volta-a-subir.aspx,"Cepea, 06/08/2024 – O preço do etanol hidratado voltou a subir no mercado paulista na semana passada – a média do Indicador CEPEA/ESALQ foi de R$ 2,6022/litro (líquido de ICMS e PIS/Cofins), alta de 1,39% frente à do período anterior. Segundo pesquisadores do Cepea, além de vendedores se manterem firmes, compradores adquiriram maiores volumes do biocombustível, abastecendo-se para a volta das aulas escolares – tradicionalmente, a demanda tende a se aquecer nessa época. Conforme dados do Cepea, entre 29 de julho e 2 de agosto, a quantidade de hidratado negociada em São Paulo ultrapassou os 100 milhões de litros, o segundo maior volume desta temporada 2024/25 – o recorde foi na semana de 12 de abril deste ano. No acumulado do ciclo atual (de 1º de abril a 3 de agosto), o crescimento é de 113,5% sobre o mesmo período de 2023. Conforme pesquisadores do Cepea, a sequência de vendas aquecidas de hidratado na ponta varejista, a valores bastante competitivos frente à gasolina, tem contribuído para os aumentos no segmento produtor. Fonte: Cepea (www.cepea.esalq.usp.br)"
2024-07-29,ETANOL/CEPEA,Indicadores caem 3% em SP,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/etanol-cepea-indicadores-caem-3-em-sp.aspx,"Cepea, 30/07/2024 – Os preços dos etanóis anidro e hidratado caíram cerca de 3% na última semana no mercado paulista. De acordo com pesquisadores do Cepea, distribuidoras seguiram mostrando menor interesse em efetuar compras, mantendo baixa a movimentação no spot. Entre 22 e 26 de julho, o Indicador CEPEA/ESALQ do hidratado foi de R$ 2,5664/litro (líquido de ICMS e PIS/Cofins), queda de 3,39% frente ao período anterior. Para o anidro, a desvalorização foi de 3%, com o Indicador a R$ 2,9592/litro (líquido de PIS/Cofins). Segundo pesquisadores do Cepea, muitos vendedores ficaram fora do mercado, devido aos preços internacionais competitivos do açúcar. Esses agentes também se mostram descontentes tanto com os valores atuais quanto com o volume de negociação nos últimos meses. As usinas ativas, por sua vez, baixaram os preços do biocombustível, ainda conforme pesquisas do Cepea. Fonte: Cepea (www.cepea.esalq.usp.br)"
2024-07-29,AÇÚCAR/CEPEA,Vendas internas voltam a remunerar mais que externas,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/acucar-cepea-vendas-internas-voltam-a-remunerar-mais-que-externas.aspx,"Cepea, 30/07/2024 – Cálculos do Cepea mostram que, na última semana, as vendas internas de açúcar cristal voltaram a remunerar mais que as externas. Isso porque as cotações internacionais do açúcar demerara tiveram novas quedas na Bolsa de Nova York (ICE Futures); a taxa de câmbio, por sua vez, continua em patamares elevados. No mercado spot, a liquidez captada pelo Cepea seguiu praticamente estável em relação à semana anterior. Segundo pesquisadores do Cepea, compradores continuam negociando quantidades reduzidas, de acordo com a necessidade imediata, afirmando vendas no varejo ainda enfraquecidas. Além disso, esses agentes também seguem recebendo o açúcar fixado em contratos.  Fonte: Cepea (www.cepea.esalq.usp.br)"
2024-07-22,AÇÚCAR/CEPEA,Preços sobem mesmo com baixa liquidez,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/acucar-cepea-precos-sobem-mesmo-com-baixa-liquidez.aspx,"Cepea, 23/07/2024 – A liquidez seguiu baixa no mercado spot paulista de açúcar cristal branco na última semana, com somente algumas poucas negociações envolvendo quantidades maiores. Apesar da lentidão, levantamento do Cepea aponta que as cotações tiveram ligeira alta nos últimos dias. Segundo pesquisadores do Cepea, os negócios envolvendo o cristal Icumsa 150, produto que vem apresentando oferta mais restrita ao longo desta temporada 2024/25, foram responsáveis por sustentar os preços médios. Entre 15 e 19 de julho, a média do Indicador CEPEA/ESALQ, cor Icumsa de 130 a 180, foi de R$ 133,48/saca de 50 kg, alta de 0,55% em relação à do período anterior. Fonte: Cepea (www.cepea.esalq.usp.br)"
2024-07-22,ETANOL/CEPEA,Demanda retraída interrompe altas; anidro recua,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/etanol-cepea-demanda-retraida-interrompe-altas-anidro-recua.aspx,"Cepea, 23/07/2024 – Depois de subir por cinco semanas consecutivas, os preços dos etanóis se enfraqueceram no mercado spot do estado de São Paulo. Entre 15 e 19 de julho, o Indicador CEPEA/ESALQ do hidratado foi de R$ 2,6564/litro (líquido de ICMS e PIS/Cofins), estável em relação ao intervalo anterior. Para o anidro, o Indicador fechou a R$ 3,0508/litro (líquido de PIS/Cofins), queda de 0,97% na mesma comparação. Segundo pesquisadores do Cepea, a pressão vem da demanda retraída. Compradores consultados pelo Cepea indicam que o período de férias escolares tem reduzido a necessidade de novas aquisições, visto que diminui o fluxo dos automóveis. Do lado produtor, pesquisadores do Cepea explicam que algumas usinas optaram por ficar fora do mercado, enquanto outros vendedores ofertaram valores menores, buscando aumentar a liquidez e evitar a elevação dos estoques, uma vez que a safra segue favorecida por boas condições climáticas. Fonte: Cepea (www.cepea.esalq.usp.br)"
2024-07-15,AÇÚCAR/CEPEA,Baixa liquidez pressiona cotações,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/acucar-cepea-baixa-liquidez-pressiona-cotacoes.aspx,"Cepea, 16/07/2024 – O mercado spot de açúcar cristal branco no estado de São esteve lento na semana passada, com poucos fechamentos para pronta-entrega e preços enfraquecidos. Segundo pesquisadores do Cepea, a pressão veio da baixa demanda interna, tendo em vista que a oferta doméstica continua restrita, especialmente para o cristal de melhor qualidade, o Icumsa 150, e a venda ao mercado externo segue mais atrativa para as usinas. De 8 a 12 de julho, a média do Indicador CEPEA/ESALQ do cristal branco, cor Icumsa de 130 a 180, foi de R$ 132,75/sc de 50 kg, recuo de 0,37% sobre a do período anterior. No campo, a boa produtividade dos canaviais está proporcionando aumento na produção brasileira do adoçante. Segundo dados da Unica, no acumulado da atual safra 2024/25 (de 1º de abril a 1º de julho), a região Centro-Sul produziu 14,2 milhões de toneladas de açúcar, avanço de 15,7% sobre a temporada anterior. Fonte: Cepea (www.cepea.esalq.usp.br)"
2024-07-15,ETANOL/CEPEA,"Hidratado sobe mais 5% e anidro, 6% na semana",https://www.cepea.esalq.usp.br/br/diarias-de-mercado/etanol-cepea-hidratado-sobe-mais-5-e-anidro-6-na-semana.aspx,"Cepea, 16/07/2024 – Levantamentos do Cepea mostram que os preços dos etanóis fecharam a última semana novamente em alta no mercado spot do estado de São Paulo. Entre 8 e 12 de julho, o Indicador CEPEA/ESALQ do hidratado foi de R$ 2,6562/litro (líquido de ICMS e PIS/Cofins), avanço de 4,83% frente ao período anterior. Para o anidro, o aumento foi de 6% em igual comparativo, com o Indicador a R$ 3,0809/litro (líquido de PIS/Cofins). Segundo pesquisadores do Cepea, mesmo com o enfraquecimento da demanda, vendedores se mantiveram firmes nos valores pedidos. O aumento do preço na gasolina A, de 20 centavos/litro, anunciado pela Petrobras na segunda-feira, 8, fortaleceu essa postura vendedora – a valorização do combustível fóssil tende a deixar o etanol mais atrativo. No geral, pesquisas do Cepea apontam que o ritmo de comercialização diminuiu, com distribuidoras adquirindo volumes limitados. No campo, chuvas em algumas regiões produtoras do estado de São Paulo resultaram em paralisações pontuais da moagem. Fonte: Cepea (www.cepea.esalq.usp.br)"
2024-07-09,ETANOL/CEPEA,Demanda aquecida e vendedor firme sustentam preços em alta -,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/etanol-cepea-demanda-aquecida-e-vendedor-firme-sustentam-altas-de-precos.aspx,"Cepea, 09/07/2024 – Os preços dos etanóis estão em alta há quatro semanas no spot do estado de São Paulo. Segundo pesquisadores do Cepea, além da demanda aquecida pelo biocombustível, que se mostra competitivo frente à gasolina C, agentes de usinas seguem firmes nos valores pedidos em novos fechamentos. Também contribuem para sustentar as cotações, conforme pesquisadores do Cepea, o elevado valor do açúcar no mercado internacional e o dólar, à medida que esse cenário tende a levar usinas a direcionarem um maior volume de cana-de-açúcar à produção do alimento em detrimento do biocombustível. De 1º a 5 de julho, o Indicador CEPEA/ESALQ do etanol hidratado fechou em R$ 2,5337/litro (líquido de ICMS e PIS/Cofins), aumento de 2,72% frente ao do período anterior. Para o anidro, a alta foi de 6,32%, com o Indicador a R$ 2,9077/litro (líquido de PIS/Cofins). Ainda assim, os atuais patamares seguem abaixo dos registrados em anos anteriores. Os Indicadores CEPEA/ESALQ mensais de junho/24 do hidratado e do anidro (spot + contratos) foram os menores das últimas três safras para o período, em termos reais (deflacionamento pelo IGP-M de junho). Fonte: Cepea (www.cepea.esalq.usp.br)"
2024-07-09,AÇÚCAR/CEPEA,Médias iniciam julho perto da estabilidade -,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/acucar-cepea-medias-iniciam-julho-perto-da-estabilidade.aspx,"Cepea, 09/07/2024 – Levantamento do Cepea mostra que os preços médios do açúcar cristal branco no spot de São Paulo iniciaram julho sem grandes variações, com a saca de 50 quilos oscilando entre R$ 132 e R$ 133. Segundo pesquisadores do Cepea, usinas procuraram manter firmes os valores de suas ofertas, já que a demanda se mostrou um pouco mais aquecida. Apesar das vendas estáveis para o varejo, pesquisadores do Cepea explicam que compradores adquiriram novos lotes do cristal no mercado doméstico, diante da possibilidade de valorizações maiores, com as recentes altas internacionais do açúcar demerara e da taxa de câmbio. Além disso, há rumores de que possa ocorrer quebra de safra na atual temporada de cana-de-açúcar (2024/25), devido ao clima seco predominante no estado de São Paulo, o que pode comprometer a oferta do adoçante. Fonte: Cepea (www.cepea.esalq.usp.br)"
2024-07-02,ETANOL/CEPEA,Preços sobem pela 3ª semana consecutiva -,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/etanol-cepea-precos-sobem-pela-3-semana-consecutiva.aspx,"Cepea, 02/07/2024 – Os preços do etanol subiram pela terceira semana consecutiva. Segundo pesquisadores do Cepea, o suporte vem sobretudo da postura ainda firme do vendedor, que mostrou baixo interesse de negociação. Além disso, agentes de usinas estão atentos à atratividade das vendas de açúcar ao mercado externo, impulsionadas, por sua vez, pela forte valorização do dólar frente ao Real. Assim, entre 24 e 28 de junho, o Indicador CEPEA/ESALQ do hidratado fechou em R$ 2,4665/litro (líquido de ICMS e PIS/Cofins), alta de 2,29% frente ao período anterior. Para o anidro, o Indicador foi de R$ 2,7348/litro (líquido de PIS/Cofins), acréscimo de 0,53% no mesmo comparativo. Quanto à safra sucroenergética 2024/25 no Centro-Sul, a colheita e a moagem de cana-de-açúcar vêm avançando favorecidas pelo clima. Do lado da demanda, a procura na ponta varejista, principalmente do estado de São Paulo, se mantém firme, sustentada pelo cenário vantajoso do biocombustível frente à gasolina. Fonte: Cepea (www.cepea.esalq.usp.br)"
2024-07-02,AÇÚCAR/CEPEA,Vendas internas perdem vantagem sobre externas -,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/acucar-cepea-vendas-internas-perdem-vantagem-sobre-externas.aspx,"Cepea, 02/07/2024 – Enquanto os preços do açúcar cristal branco no mercado spot do estado de São Paulo encerraram junho em queda, as cotações externas subiram. Como resultado, levantamento do Cepea aponta que as vendas domésticas perderam vantagem sobre as exportações, cenário não era visto desde a primeira semana oficial da safra 2024/25, em abril. De 24 a 28 de junho, a média do Indicador do Açúcar Cristal CEPEA/ESALQ, cor Icumsa de 130 a 180, foi de R$ 134,31/saca de 50 kg, e a das cotações do contrato nº 11 da ICE Futures (vencimento Julho/24), de R$ 144,59/sc. Assim, as vendas externas remuneraram 7,65% a mais do que o spot paulista. Segundo pesquisadores do Cepea, a pressão sobre as cotações domésticas vem da demanda enfraquecida. Fonte: Cepea (www.cepea.esalq.usp.br)"
2024-06-25,AÇÚCAR/CEPEA,"Em meio à baixa liquidez, preço estabiliza no spot paulista -",https://www.cepea.esalq.usp.br/br/diarias-de-mercado/acucar-cepea-em-meio-a-baixa-liquidez-preco-estabiliza-no-spot-paulista.aspx,"Cepea, 25/06/2024 – Os preços do açúcar cristal branco seguiram praticamente estáveis na última semana no mercado spot do estado de São Paulo. Segundo pesquisadores do Cepea, usinas continuaram firmes nos valores ofertados, sobretudo quando as negociações envolviam os tipos de melhor qualidade do cristal, o Icumsa até 180.  Do lado da demanda, pesquisas do Cepea mostram que compradores buscaram volumes pequenos, para necessidades imediatas, esperando baixa nos preços com o avanço da safra 2024/25. Além disso, esses demandantes contam com o recebimento do açúcar por meio dos contratos. No balanço, a liquidez captada pelo Cepea nos últimos dias foi estável. Fonte: Cepea (www.cepea.esalq.usp.br)"
2024-06-25,ETANOL/CEPEA,Indicadores sobem mais 3% na semana -,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/etanol-cepea-indicadores-sobem-mais-3-na-semana.aspx,"Cepea, 25/06/2024 – Os preços dos etanóis subiram por mais uma semana no mercado spot de São Paulo. Entre 17 e 21 de junho, o Indicador CEPEA/ESALQ do hidratado fechou em R$ 2,4113/litro (líquido de ICMS e PIS/Cofins), aumento de 3,14% frente ao período anterior. Para o anidro, o Indicador foi de R$ 2,7204/litro (líquido de PIS/Cofins), elevação de 3,28% no mesmo comparativo. Segundo pesquisadores do Cepea, os negócios se aqueceram em meio a boas saídas de hidratado na ponta varejista, além da postura firme vendedora. Produtores seguem atentos ao clima bastante seco nos últimos meses. Segundo pesquisadores do Cepea, se, por um lado, essa condição acelera as atividades agrícolas e na indústria, por outro, os desdobramentos do déficit hídrico devem ser sentidos no curto prazo, resultando em estoques menores do produto. Fonte: Cepea (www.cepea.esalq.usp.br)"
2024-06-18,ETANOL/CEPEA,"Vendas crescem 15% na semana, e Indicadores sobem -",https://www.cepea.esalq.usp.br/br/diarias-de-mercado/etanol-cepea-vendas-crescem-15-na-semana-e-indicadores-sobem.aspx,"Cepea, 18/06/2024 – Levantamento do Cepea mostra que, entre 10 e 14 de junho, o volume de etanol hidratado negociado por usinas paulistas cresceu 15% frente ao período anterior. Nesse cenário, os preços subiram. O Indicador CEPEA/ESALQ do hidratado fechou em R$ 2,3378/litro (líquido de ICMS e PIS/Cofins), alta de 1,37% frente ao da semana anterior. Para o anidro, o aumento foi de 0,65%, com o Indicador CEPEA/ESALQ a R$ 2,6340/litro (líquido de PIS/Cofins). Segundo pesquisadores do Cepea, agentes de usinas se mantêm firmes nos valores de negociação no spot, atentos sobretudo às cotações do açúcar no mercado externo. Do lado da demanda, distribuidoras chegaram a realizar compras mais volumosas, especialmente no início da semana passada. Fonte: Cepea (www.cepea.esalq.usp.br)"
2024-06-18,AÇÚCAR/CEPEA,"Usinas restringem oferta, e preço do cristal sobe na semana -",https://www.cepea.esalq.usp.br/br/diarias-de-mercado/acucar-cepea-usinas-restringem-oferta-e-preco-do-cristal-sobe-na-semana.aspx,"Cepea, 18/06/2024 – Os preços do açúcar cristal branco praticados no mercado spot do estado de São Paulo subiram no balanço da última semana. O Indicador CEPEA/ESALQ, cor Icumsa de 130 a 180, registrou média de R$ 136,65/sc de 50 kg entre 10 e 14 de junho, alta de 1,18% frente à do período anterior. Segundo pesquisadores do Cepea, entre os motivos para os aumentos em pleno avanço da colheita e moagem da safra 2024/25 está a desvalorização do Real frente ao dólar, levando usinas a restringirem a oferta do cristal Icumsa até 180 no mercado à vista, já que as exportações se tornam mais atrativas. Fonte: Cepea (www.cepea.esalq.usp.br)"
2024-06-11,ETANOL/CEPEA,Indicadores iniciam junho estáveis em SP -,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/etanol-cepea-indicadores-iniciam-junho-estaveis-em-sp.aspx,"Cepea, 11/06/2024 – Os preços do etanol no mercado spot do estado de São Paulo iniciaram junho praticamente estáveis. De acordo com pesquisadores do Cepea, distribuidoras realizaram poucos negócios na primeira semana do mês. A expectativa desses agentes era que a oferta de biocombustível aumentasse no período – dada a necessidade de parte das usinas de “fazer caixa” para pagamentos de salários – e os valores caíssem. No entanto, segundo levantamento do Cepea, a oferta até cresceu, mas não de forma generalizada e nem ao ponto de resultar em fortes reduções de preços. Vendedores estiveram firmes nas suas pedidas, atentos ao bom desempenho das vendas de etanol hidratado na ponta varejista e às atuais cotações do açúcar, ainda conforme pesquisadores do Cepea. Entre 3 e 7 de junho, o Indicador CEPEA/ESALQ do hidratado fechou em R$ 2,3062/litro (líquido de ICMS e PIS/Cofins), pequeno recuo de 0,06% frente ao período anterior. Para o anidro, o Indicador foi de R$ 2,6170/litro (líquido de PIS/Cofins), ligeira queda de 0,22% em igual comparativo. Fonte: Cepea (www.cepea.esalq.usp.br)"
2024-06-11,AÇÚCAR/CEPEA,"Com avanço da moagem, preço tem novas quedas -",https://www.cepea.esalq.usp.br/br/diarias-de-mercado/acucar-cepea-com-avanco-da-moagem-preco-tem-novas-quedas.aspx,"Cepea, 11/06/2024 – Os preços médios do açúcar cristal branco caíram na primeira semana de junho. Segundo pesquisadores do Cepea, a pressão continua vindo dos avanços da colheita e da moagem de cana-de-açúcar da safra 2024/25, com aumento na produção do cristal. Assim, o mercado spot paulista já conta com uma maior disponibilidade do adoçante, em especial para o Icumsa 180. A demanda, por sua vez, vem se mantendo estável. Conforme pesquisadores do Cepea, compradores têm negociado somente o necessário para consumo imediato por acreditarem em novas baixas de preços no curto prazo. Fonte: Cepea (www.cepea.esalq.usp.br)"
