Data,Produto,Título,URL
2024-08-05,AÇÚCAR/CEPEA,"Com baixa liquidez, preços têm leve queda",https://www.cepea.esalq.usp.br/br/diarias-de-mercado/acucar-cepea-com-baixa-liquidez-precos-tem-leve-queda.aspx
2024-08-05,ETANOL/CEPEA,"Vendas ultrapassam 100 milhões de litros, e hidratado volta a subir",https://www.cepea.esalq.usp.br/br/diarias-de-mercado/etanol-cepea-vendas-ultrapassam-100-milhoes-de-litros-e-hidratado-volta-a-subir.aspx
2024-07-29,ETANOL/CEPEA,Indicadores caem 3% em SP,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/etanol-cepea-indicadores-caem-3-em-sp.aspx
2024-07-29,AÇÚCAR/CEPEA,Vendas internas voltam a remunerar mais que externas,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/acucar-cepea-vendas-internas-voltam-a-remunerar-mais-que-externas.aspx
2024-07-22,AÇÚCAR/CEPEA,Preços sobem mesmo com baixa liquidez,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/acucar-cepea-precos-sobem-mesmo-com-baixa-liquidez.aspx
2024-07-22,ETANOL/CEPEA,Demanda retraída interrompe altas; anidro recua,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/etanol-cepea-demanda-retraida-interrompe-altas-anidro-recua.aspx
2024-07-15,AÇÚCAR/CEPEA,Baixa liquidez pressiona cotações,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/acucar-cepea-baixa-liquidez-pressiona-cotacoes.aspx
2024-07-15,ETANOL/CEPEA,"Hidratado sobe mais 5% e anidro, 6% na semana",https://www.cepea.esalq.usp.br/br/diarias-de-mercado/etanol-cepea-hidratado-sobe-mais-5-e-anidro-6-na-semana.aspx
2024-07-09,ETANOL/CEPEA,Demanda aquecida e vendedor firme sustentam preços em alta -,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/etanol-cepea-demanda-aquecida-e-vendedor-firme-sustentam-altas-de-precos.aspx
2024-07-09,AÇÚCAR/CEPEA,Médias iniciam julho perto da estabilidade -,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/acucar-cepea-medias-iniciam-julho-perto-da-estabilidade.aspx
